chr1	sx1	sx2	chr2	sy1	sy2	color	Scaffold_ID	x1	x2	y1	y2
assembly	0	2540652	assembly	0	2540652	0,255,0	-yahs_1 (-1)	0	2540652	0	2540652
assembly	4611807	6922374	assembly	4611807	6922374	0,255,0	+yahs_2 (+2)	4611807	6922374	4611807	6922374
assembly	8782644	10865710	assembly	8782644	10865710	0,255,0	-yahs_3 (-3)	8782644	10865710	8782644	10865710
assembly	2540652	4534807	assembly	2540652	4534807	0,255,0	+yahs_4 (+4)	2540652	4534807	2540652	4534807
assembly	6922374	8782644	assembly	6922374	8782644	0,255,0	+yahs_5 (+5)	6922374	8782644	6922374	8782644
assembly	4534807	4611807	assembly	4534807	4611807	0,255,0	+yahs_6 (+6)	4534807	4611807	4534807	4611807
assembly	10865710	10922710	assembly	10865710	10922710	0,255,0	+yahs_7 (+7)	10865710	10922710	10865710	10922710
assembly	10922710	10923710	assembly	10922710	10923710	0,255,0	+yahs_8 (+8)	10922710	10923710	10922710	10923710
